team,pick_year,round,expected_pick_number,protection_note
Memphis Grizzlies,2029,2,,To BRK (via PHX); ORL if ORL 1-2 in 2029; POR (via PHL to IND)
Memphis Grizzlies,2030,1,,More favorable of MEM and less favorable of PHX and WAS then least favorable of all to PHX; ORL
Memphis Grizzlies,2030,2,,31-50 Own; 51-60 to MIN
Memphis Grizzlies,2031,1,,Own; PHX (via UTH)
Memphis Grizzlies,2031,2,,More favorable of MEM and less favorable of IND and MIA then least favorable of all to IND (via MIA swap for IND; via MEM swap for IND or MIA)
Memphis Grizzlies,2032,1,,Own
Memphis Grizzlies,2032,2,,Own or swap for PHL; GOS 51-60
Miami Heat,2026,1,,Own
Miami Heat,2026,2,,More favorable of SAN and less favorable of MIA and IND to SAN then least favorable of all to MIN; Less favorable of BOS and more favorable of MIA and IND to ATL then most favorable of all to MEM or to BRK; BRK 56-60
Miami Heat,2027,1,,1-14 Own; 15-30 to CHA
Miami Heat,2027,2,,"Least favorable of MIA, OKC, HOU, IND and SAN; most favorable of MIA, OKC, HOU and IND to PHL; second most favorable to NOP and third most favorable to NYK; more favorable of SAN and least favorable of MIA, OKC, HOU and IND to SAN"
Miami Heat,2028,1,,To CHA if not already settled
Miami Heat,2028,2,,To DET if DAL conveys 1st round pick to CHA in 2027 or to CHA if DAL does not convey 1st round pick to CHA in 2027
Miami Heat,2029,1,,Own
Miami Heat,2029,2,,More favorable of MIA and ATL to CHA then other to OKC (via OKC)
Miami Heat,2030,1,,Own
Miami Heat,2030,2,,To OKC
Miami Heat,2031,1,,Own
Miami Heat,2031,2,,More favorable of MIA and IND to WAS; more favorable of MEM and less favorable of MIA and IND to MEM then least favorable of all to IND (via MIA swap for IND; via UTH to WAS; via MEM swap for IND or MIA)
Miami Heat,2032,1,,Own
Miami Heat,2032,2,,To BRK
Milwaukee Bucks,2026,1,,Less favorable of MIL and NOP then other to ATL (via NOP swap for MIL)
Milwaukee Bucks,2026,2,,"Most favorable of MIL, ORL and DET to BOS; second most favorable to ORL and least favorable to NOP (via MIL to ORL; via DET to LAC to ORL); UTH 56-60 (via MIN to SAN)"
Milwaukee Bucks,2027,1,,More favorable of MIL and NOP to NOP then other to ATL if 5-30 or MIL and NOP to NOP if both 1-4 (via NOP)
Milwaukee Bucks,2027,2,,To DET (via PHL)
Milwaukee Bucks,2028,1,,Less favorable of MIL and POR (with conditions) to WAS (see original for full details)
Milwaukee Bucks,2028,2,,To PHL (via BRK to HOU to OKC)
Milwaukee Bucks,2029,1,,"Most and least favorable of MIL, BOS and POR to POR; second most favorable to WAS (via BOS to POR; via MIL to POR; via POR to WAS)"
Milwaukee Bucks,2029,2,,"Two most favorable of MIL, DET and NYK to DET then other to CHI (via MIL to BRK to DET; via NYK to DET; via SAC to CHI)"
Milwaukee Bucks,2030,1,,Own or POR (via POR swap for MIL)
Milwaukee Bucks,2030,2,,To ORL
Milwaukee Bucks,2031,1,,Own
Milwaukee Bucks,2031,2,,To CHA
Milwaukee Bucks,2032,1,,Own
Milwaukee Bucks,2032,2,,To CHA
