team,pick_year,round,expected_pick_number,protection_note,strength_rank,ev_points,years_out,discount_factor,pv_ev_points
Golden State Warriors,2030,2,52,To DAL if GOS does not convey 1st round pick to DAL in 2030 (via WAS),22,11.379310344827587,4,0.6830134553650705,7.772222078292183
Golden State Warriors,2031,1,22,Own,22,23.571428571428573,5,0.6209213230591549,14.636002614965795
Golden State Warriors,2031,2,52,More favorable of GOS and MIN to CHI then other to DET (via MIN swap for GOS),22,11.379310344827587,5,0.6209213230591549,7.065656434811074
Golden State Warriors,2032,1,22,Own,22,23.571428571428573,6,0.5644739300537772,13.305456922696179
Golden State Warriors,2032,2,52,31-50 Own; 51-60 to MEM,22,11.379310344827587,6,0.5644739300537772,6.423324031646431
Houston Rockets,2026,1,26,"1-4 Own; most favorable of HOU 5-30, LAC and OKC to OKC; second most / more favorable to PHL and least / less favorable to DAL (via OKC to PHL to WAS to DAL)",26,20.625,0,1.0,20.625
Houston Rockets,2026,2,56,To OKC if HOU 1-4 in 2026; CHI (via WAS),26,10.64516129032258,0,1.0,10.64516129032258
Houston Rockets,2027,1,26,Own or swap for BRK; PHX (via BRK),26,20.625,1,0.9090909090909091,18.75
Houston Rockets,2027,2,56,"Most favorable of HOU, OKC, IND and MIA to PHL; second most favorable to NOP and third most favorable to NYK; more favorable of SAN and least favorable of HOU, OKC, IND and MIA to SAN then least favorable of all to MIA; MEM (via LAC); Less favorable of POR and NOP if 56-60",26,10.64516129032258,1,0.9090909090909091,9.677419354838708
Houston Rockets,2028,1,26,Own,26,20.625,2,0.8264462809917354,17.045454545454543
Houston Rockets,2028,2,56,Own (via ATL),26,10.64516129032258,2,0.8264462809917354,8.79765395894428
Houston Rockets,2029,1,26,"Two most favorable of HOU, DAL and PHX then other to BRK (via DAL and PHX to BRK; via HOU swap for DAL or PHX)",26,20.625,3,0.7513148009015775,15.495867768595037
Houston Rockets,2029,2,56,To DAL (via OKC to WAS); SAC (via WAS),26,10.64516129032258,3,0.7513148009015775,7.9978672354038896
Houston Rockets,2030,1,26,Own,26,20.625,4,0.6830134553650705,14.08715251690458
Houston Rockets,2030,2,56,To OKC,26,10.64516129032258,4,0.6830134553650705,7.270788395821718
Houston Rockets,2031,1,26,Own,26,20.625,5,0.6209213230591549,12.80650228809507
Houston Rockets,2031,2,56,31-55 Own or ATL (via ATL swap for HOU); 56-60 to BOS,26,10.64516129032258,5,0.6209213230591549,6.6098076325651975
Houston Rockets,2032,1,26,Own,26,20.625,6,0.5644739300537772,11.642274807359156
Houston Rockets,2032,2,56,More favorable of HOU and PHX to CHI then other to PHX (via PHX to MIN),26,10.64516129032258,6,0.5644739300537772,6.008916029604725
Indiana Pacers,2026,1,5,1-4 and 10-30 Own; 5-9 to LAC,5,59.99999999999999,0,1.0,59.99999999999999
Indiana Pacers,2026,2,35,More favorable of SAN and less favorable of IND and MIA to SAN then least favorable of all to MIN; Less favorable of BOS and more favorable of IND and MIA to ATL then most favorable of all to MEM or to BRK (via MIA to IND; via SAN swap for IND or MIA; via MIL to MEM; via BOS to ATL); TOR 56-60,5,16.097560975609756,0,1.0,16.097560975609756
Indiana Pacers,2027,1,5,Own,5,59.99999999999999,1,0.9090909090909091,54.54545454545454
Indiana Pacers,2027,2,35,"Most favorable of IND, OKC, HOU and MIA to PHL; second most favorable to NOP and third most favorable to NYK; more favorable of SAN and least favorable of IND, OKC, HOU and MIA to SAN then least favorable of all to MIA; UTH (via CLE)",5,16.097560975609756,1,0.9090909090909091,14.634146341463413
Indiana Pacers,2028,1,5,Own,5,59.99999999999999,2,0.8264462809917354,49.58677685950412
Indiana Pacers,2028,2,35,More favorable of IND and PHX then other to NYK (via IND),5,16.097560975609756,2,0.8264462809917354,13.303769401330376
Indiana Pacers,2029,1,5,To LAC,5,59.99999999999999,3,0.7513148009015775,45.07888805409465
Indiana Pacers,2029,2,35,More favorable of IND and WAS then other to POR (via IND to NYK),5,16.097560975609756,3,0.7513148009015775,12.09433581939125
Indiana Pacers,2030,1,5,Own,5,59.99999999999999,4,0.6830134553650705,40.98080732190423
Indiana Pacers,2030,2,35,Own,5,16.097560975609756,4,0.6830134553650705,10.994850744901136
Indiana Pacers,2031,1,5,To LAC if IND does not convey 1st round pick to LAC in 2026,5,59.99999999999999,5,0.6209213230591549,37.25527938354929
Indiana Pacers,2031,2,35,"Least favorable of IND, MIA and MEM; more favorable of IND and MIA to WAS; more favorable of MEM and less favorable of IND and MIA to MEM (via MIA swap for IND; via UTH to WAS; via MEM swap for IND or MIA)",5,16.097560975609756,5,0.6209213230591549,9.995318859001031
Indiana Pacers,2032,1,5,Own,5,59.99999999999999,6,0.5644739300537772,33.86843580322663
Indiana Pacers,2032,2,35,Own,5,16.097560975609756,6,0.5644739300537772,9.086653508182755
Los Angeles Clippers,2026,1,27,"Most favorable of LAC, HOU 5-30 and OKC to OKC; second most / more favorable to PHL and least / less favorable to DAL; IND 5-9",27,20.0,0,1.0,20.0
Los Angeles Clippers,2026,2,57,"Less favorable of LAC and most favorable of BOS, IND and MIA to BRK then most favorable of all to MEM; CLE; MEM 31-42 (via UTH to ATL)",27,10.476190476190476,0,1.0,10.476190476190476
Los Angeles Clippers,2027,1,27,"Least / less favorable of LAC, DEN 6-30 and OKC then other(s) to OKC (via OKC swap of OKC or DEN for LAC)",27,20.0,1,0.9090909090909091,18.18181818181818
Los Angeles Clippers,2027,2,57,To UTH (via ATL to LAC),27,10.476190476190476,1,0.9090909090909091,9.523809523809524
Los Angeles Clippers,2028,1,27,To PHL,27,20.0,2,0.8264462809917354,16.52892561983471
Los Angeles Clippers,2028,2,57,More favorable of LAC and CHA to CHA then other to DET; DAL (via SAC to IND),27,10.476190476190476,2,0.8264462809917354,8.658008658008658
Los Angeles Clippers,2029,1,27,1-3 Own; 4-30 Own or PHL (via PHL swap for LAC); IND,27,20.0,3,0.7513148009015775,15.026296018031552
Los Angeles Clippers,2029,2,57,To SAN (via PHL),27,10.476190476190476,3,0.7513148009015775,7.87091696182605
Los Angeles Clippers,2030,1,27,Own,27,20.0,4,0.6830134553650705,13.66026910730141
Los Angeles Clippers,2030,2,57,More favorable of LAC and UTH to CHA then other to LAC (via LAC to UTH),27,10.476190476190476,4,0.6830134553650705,7.155379056205501
Los Angeles Clippers,2031,1,27,Own; IND if IND does not convey 1st round pick to LAC in 2026,27,20.0,5,0.6209213230591549,12.418426461183099
Los Angeles Clippers,2031,2,57,Own,27,10.476190476190476,5,0.6209213230591549,6.5048900510959085
Los Angeles Clippers,2032,1,27,Own,27,20.0,6,0.5644739300537772,11.289478601075544
Los Angeles Clippers,2032,2,57,Own,27,10.476190476190476,6,0.5644739300537772,5.91353641008719
Los Angeles Lakers,2026,1,20,Own,20,25.38461538461538,0,1.0,25.38461538461538
Los Angeles Lakers,2026,2,50,To GOS (via CLE to MIA to TOR),20,11.785714285714285,0,1.0,11.785714285714285
Los Angeles Lakers,2027,1,20,1-4 Own; 5-30 to MEM (via UTH),20,25.38461538461538,1,0.9090909090909091,23.076923076923073
